population,alpha,beta,amplitude,period
20,1000.000000,1000.000000,0.0,-1.0
20,1.000000,0.100000,0.042706,397.166667
20,10000.000000,1000.000000,0.000477,393.677419
20,10000.000000,0.000100,0.003971,237.272727
20,1.000000,0.000010,0.005761,252.062500
20,10000.000000,0.000010,0.003020,199.375000
20,1.000000,10000.000000,0.000000,34.166667
20,0.001000,10000.000000,0.0,-1.0
20,0.000100,0.010000,0.008616,412.560000
20,0.010000,0.010000,0.012175,490.500000
20,0.001000,10.000000,0.0,-1.0
20,10.000000,10000.000000,0.0,-1.0
20,0.000010,0.000010,0.011590,485.625000
20,100.000000,1000.000000,0.000000,20.500000
20,0.000100,1000.000000,0.0,-1.0
500,0.010000,100.000000,0.0,-1.0
500,0.000010,0.100000,0.073778,429.546667
500,10000.000000,10000.000000,0.0,-1.0
500,100.000000,1000.000000,0.0,-1.0
500,0.001000,1000.000000,0.0,-1.0
500,1000.000000,0.000100,0.008224,290.666667
500,10000.000000,0.000010,0.008161,305.847534
500,0.010000,0.001000,0.006800,290.457944
500,10.000000,0.000100,0.008495,353.000000
500,10000.000000,10.000000,0.0,-1.0
500,0.000100,100.000000,0.0,-1.0
500,0.100000,100.000000,0.0,-1.0
500,0.000100,1.000000,0.369024,217.200000
500,0.010000,0.100000,0.108447,512.088889
500,0.010000,0.000100,0.013876,359.870647
500,1000.000000,0.010000,0.010805,369.577640
500,1000.000000,0.100000,0.0,-1.0
500,10000.000000,100.000000,0.0,-1.0
500,1.000000,1000.000000,0.0,-1.0
500,0.010000,1.000000,0.0,-1.0
500,0.001000,0.000010,0.014581,405.435407
500,0.001000,0.100000,0.033118,340.505263
500,100.000000,0.010000,0.017110,465.859155
500,0.001000,1.000000,0.0,-1.0
500,10.000000,0.001000,0.012453,360.187793
500,10000.000000,0.000100,0.005140,267.817352
500,1000.000000,1000.000000,0.0,-1.0
500,1000.000000,0.000010,0.012244,328.654545
500,1.000000,1.000000,0.522168,608.000000
500,0.001000,10.000000,0.0,-1.0
500,0.010000,0.010000,0.025253,371.985816
500,100.000000,1.000000,0.0,-1.0
500,10000.000000,0.100000,0.0,-1.0
500,10000.000000,0.001000,0.012780,285.922652
500,0.010000,10.000000,0.0,-1.0
500,1000.000000,100.000000,0.0,-1.0
500,0.000010,0.000100,0.023566,303.960000
500,0.000010,0.000010,0.006725,346.886792
500,0.000100,0.100000,0.036141,516.704225
500,100.000000,10000.000000,0.0,-1.0
500,0.000100,10000.000000,0.0,-1.0
500,10.000000,1.000000,0.0,-1.0
500,0.000100,0.001000,0.015470,352.117647
500,100.000000,0.100000,0.087754,389.727273
500,0.001000,10000.000000,0.0,-1.0
500,1.000000,0.100000,0.035575,356.441558
500,0.010000,10000.000000,0.0,-1.0
500,10.000000,10.000000,0.0,-1.0
500,0.100000,0.010000,0.012184,360.161491
